Weight Class,Rank,Wrestler Name,Year and Record,Team,Team Rank
157,#31,"Bianchi, Matt",JR |  0 - 0,#26 Little Rock,26 Little Rock
157,#32,"Stampoulos, Nick",SO |  0 - 0,#45 Lock Haven,45 Lock Haven
157,#33,"Alvan, Cesar",JR |  0 - 0,#50 Columbia,50 Columbia
165,#1,"Mesenbrink, Mitchell",SO |  0 - 0,#1 Penn State,1 Penn State
165,#2,"Caliendo, Michael",JR |  0 - 0,#4 Iowa,4 Iowa
165,#3,"Teemer, Jacori",SR |  0 - 0,#23 Arizona State,23 Arizona State
165,#4,"Ramirez, Julian",SR |  0 - 0,#10 Cornell,10 Cornell
165,#5,"Hall, Peyton",SR |  0 - 0,#18 West Virginia,18 West Virginia
165,#6,"Garvin, Hunter",SO |  0 - 0,#16 Stanford,16 Stanford
165,#7,"Mantanona, Beau",FR |  0 - 0,#11 Michigan,11 Michigan
165,#8,"Fish, Caleb",SR |  0 - 0,#2 Oklahoma State,2 Oklahoma State
165,#9,"Thompson, Garrett",JR |  0 - 0,#42 Ohio,42 Ohio
165,#10,"Cassella, Brevin",SR |  0 - 0,#55 Binghamton,55 Binghamton
165,#11,"Lillard, Tyler",SO |  0 - 0,#29 Indiana,29 Indiana
165,#12,"Bianchi, Joseph",SR |  0 - 0,#26 Little Rock,26 Little Rock
165,#13,"Miller, Will",JR |  0 - 0,#36 Appalachian State,36 Appalachian State
165,#14,"Baker, Domonic",JR |  0 - 0,#24 Campbell,24 Campbell
165,#15,"Mayfield, Maxx",SR |  0 - 0,#37 Northwestern,37 Northwestern
165,#16,"Maag, Evan",SO |  0 - 0,#40 George Mason,40 George Mason
165,#17,"Hepner, Bryce",JR |  0 - 0,#3 Ohio State,3 Ohio State
165,#18,"Hamilton, Nick",SO |  0 - 0,#35 Virginia,35 Virginia
165,#19,"Mulvaney, Noah",SO |  0 - 0,#41 Bucknell,41 Bucknell
165,#20,"Brenner, Blaine",JR |  0 - 0,#13 Minnesota,13 Minnesota
165,#21,"Brady, Connor",SR |  0 - 0,#12 Virginia Tech,12 Virginia Tech
165,#22,"Moore, Chris",SO |  0 - 0,#17 Illinois,17 Illinois
165,#23,"Filipowicz, Gunner",SO |  0 - 0,#27 Army West Point,27 Army West Point
165,#24,"Ulrey, Clayton",SR |  0 - 0,#47 Northern Colorado,47 Northern Colorado
165,#25,"Buell, Stoney",JR |  0 - 0,#30 Purdue,30 Purdue
165,#26,"Euton, Connor",SO |  0 - 0,#15 Iowa State,15 Iowa State
165,#27,"Fields, Derek",JR |  0 - 0,#5 NC State,5 NC State
165,#28,"Thomsen, Jack",SR |  0 - 0,#7 Northern Iowa,7 Northern Iowa
165,#29,"Munguia, Enrique",JR |  0 - 0,#39 Rider,39 Rider
165,#30,"Wilson, Bubba",SR |  0 - 0,#6 Nebraska,6 Nebraska
165,#31,"Walsh, Cody",SR |  0 - 0,#43 Drexel,43 Drexel
165,#32,"Carlson, Cael",SR |  0 - 0,#21 Oklahoma,21 Oklahoma
165,#33,"Voorhees, Cooper",JR |  0 - 0,#25 Wyoming,25 Wyoming
174,#1,"O'Toole, Keegan",SR |  0 - 0,#8 Missouri,8 Missouri
174,#2,"Hamiti, Dean",SR |  0 - 0,#2 Oklahoma State,2 Oklahoma State
174,#3,"DeVos, Cade",SR |  0 - 0,#22 South Dakota State,22 South Dakota State
174,#4,"Wolak, Lennox",SR |  0 - 0,#12 Virginia Tech,12 Virginia Tech
174,#5,"Welsh, Rocco",SO |  0 - 0,#3 Ohio State,3 Ohio State
174,#6,"Kennedy, Patrick",JR |  0 - 0,#4 Iowa,4 Iowa
174,#7,"Gaitan, MJ",SO |  0 - 0,#15 Iowa State,15 Iowa State
174,#8,"Incontrera, Nick",SR |  0 - 0,#28 Pennsylvania,28 Pennsylvania
174,#9,"Cramer, Alex",SR |  0 - 0,#38 Central Michigan,38 Central Michigan
174,#10,"Braunagel, Danny",SR |  0 - 0,#17 Illinois,17 Illinois
174,#11,"Norman, Lorenzo",FR |  0 - 0,#16 Stanford,16 Stanford
174,#12,"Simma, Jared",JR |  0 - 0,#7 Northern Iowa,7 Northern Iowa
174,#13,"Turley, Jackson",SR |  0 - 0,#14 Rutgers,14 Rutgers
174,#14,"Ruiz, Nicco",FR |  0 - 0,#23 Arizona State,23 Arizona State
174,#15,"Facundo, Alex",SO |  0 - 0,#1 Penn State,1 Penn State
174,#16,"Wask, Danny",SO |  0 - 0,#33 Navy,33 Navy
174,#17,"Sparks, Andrew",SR |  0 - 0,#13 Minnesota,13 Minnesota
174,#18,"Olguin, Matthew",SR |  0 - 0,#31 Oregon State,31 Oregon State
174,#19,"Kemp, Adam",SR |  0 - 0,#32 Cal Poly,32 Cal Poly
174,#20,"Ogunsanya, Joshua",SR |  0 - 0,#19 North Carolina,19 North Carolina
174,#21,"Conley, Brody",SO |  0 - 0,#18 West Virginia,18 West Virginia
174,#22,"Augustine, Luca",JR |  0 - 0,#20 Pittsburgh,20 Pittsburgh
174,#23,"Uliano, Lucas",JR |  0 - 0,#36 Appalachian State,36 Appalachian State
174,#24,"Singleton, Matthew",SO |  0 - 0,#5 NC State,5 NC State
174,#25,"Perrine, Sal",SR |  0 - 0,#42 Ohio,42 Ohio
174,#26,"Takats, Myles",SO |  0 - 0,#41 Bucknell,41 Bucknell
174,#27,"Desiante, Sergio",SO |  0 - 0,#49 Chattanooga,49 Chattanooga
174,#28,"Picklo, Tate",JR |  0 - 0,#21 Oklahoma,21 Oklahoma
174,#29,"Washington, Donnell",SR |  0 - 0,#29 Indiana,29 Indiana
174,#30,"Wilson, Michael",SR |  0 - 0,#39 Rider,39 Rider
174,#31,"Worthing, John",SR |  0 - 0,#48 Clarion,48 Clarion
174,#32,"Walker, Joseph",SR |  0 - 0,#11 Michigan,11 Michigan
174,#33,"Wills, Triston",SR |  0 - 0,#26 Little Rock,26 Little Rock
184,#1,"Keckeisen, Parker",SR |  0 - 0,#7 Northern Iowa,7 Northern Iowa
184,#2,"Plott, Dustin",SR |  0 - 0,#2 Oklahoma State,2 Oklahoma State
184,#3,"Munoz, Trey",SR |  0 - 0,#31 Oregon State,31 Oregon State
184,#4,"Ruth, Edmond",SR |  0 - 0,#17 Illinois,17 Illinois
184,#5,"Berge, Bennett",SO |  0 - 0,#22 South Dakota State,22 South Dakota State
184,#6,"Foca, Chris",SR |  0 - 0,#10 Cornell,10 Cornell
184,#7,"Pinto, Lenny",JR |  0 - 0,#6 Nebraska,6 Nebraska
184,#8,"Arnold, Gabe",FR |  0 - 0,#4 Iowa,4 Iowa
184,#9,"Stewart, TJ",SO |  0 - 0,#12 Virginia Tech,12 Virginia Tech
184,#10,"Ayzerov, Aaron",SR |  0 - 0,#50 Columbia,50 Columbia
184,#11,"Hawks, Colton",SR |  0 - 0,#8 Missouri,8 Missouri
184,#12,"Rogotzke, Ryder",SO |  0 - 0,#3 Ohio State,3 Ohio State
184,#12,"Fishback, Dylan",SO |  0 - 0,#5 NC State,5 NC State
184,#14,"Bullock, Jaden",SR |  0 - 0,#11 Michigan,11 Michigan
184,#15,"McEnelly, Max",FR |  0 - 0,#13 Minnesota,13 Minnesota
184,#16,"Barr, Josh",FR |  0 - 0,#1 Penn State,1 Penn State
184,#17,"Heller, Reece",SR |  0 - 0,#20 Pittsburgh,20 Pittsburgh
184,#18,"Soldano, Brian",JR |  0 - 0,#14 Rutgers,14 Rutgers
184,#19,"Conway, James",SR |  0 - 0,#65 Franklin & Marshall,65 Franklin & Marshall
184,#20,"Fisher, Troy",SR |  0 - 0,#37 Northwestern,37 Northwestern
184,#21,"Delsignore, Brock",JR |  0 - 0,#26 Little Rock,26 Little Rock
184,#22,"Anderson, Jha'Quan",SR |  0 - 0,#67 Gardner-Webb,67 Gardner-Webb
184,#23,"Harkins, Dalton",SR |  0 - 0,#27 Army West Point,27 Army West Point
184,#24,"Kane, Gavin",SR |  0 - 0,#19 North Carolina,19 North Carolina
184,#25,"Parker, Deanthony",JR |  0 - 0,#21 Oklahoma,21 Oklahoma
184,#26,"Robin, Dennis",JR |  0 - 0,#18 West Virginia,18 West Virginia
184,#27,"Mielnik, Chase",SR |  0 - 0,#34 Maryland,34 Maryland
184,#28,"Duvall, Malachi",JR |  0 - 0,#40 George Mason,40 George Mason
184,#29,"Darrah, Jack",SO |  0 - 0,#16 Stanford,16 Stanford
184,#30,"Haas, Nathan",JR |  0 - 0,#57 Cal Baptist,57 Cal Baptist
184,#31,"Campos, Caleb",SO |  0 - 0,#63 American,63 American
184,#32,"D'Alesio, Anthony",SR |  0 - 0,#70 LIU,70 LIU
184,#33,"Rogotzke, Roman",JR |  0 - 0,#29 Indiana,29 Indiana
197,#1,"Starocci, Carter",SR |  0 - 0,#1 Penn State,1 Penn State
197,#2,"Buchanan, Stephen",SR |  0 - 0,#21 Oklahoma,21 Oklahoma
197,#3,"Cardenas, Jacob",SR |  0 - 0,#11 Michigan,11 Michigan
197,#4,"Elam, Rocky",SR |  0 - 0,#8 Missouri,8 Missouri
197,#5,"Little, Stephen",SO |  0 - 0,#26 Little Rock,26 Little Rock
197,#6,"Beard, Michael",SR |  0 - 0,#9 Lehigh,9 Lehigh
197,#7,"Allred, Silas",JR |  0 - 0,#6 Nebraska,6 Nebraska
197,#8,"Trumble, Isaac",JR |  0 - 0,#5 NC State,5 NC State
197,#9,"Salazar, Isaiah",SR |  0 - 0,#13 Minnesota,13 Minnesota
197,#10,"Braunagel, Zach",SR |  0 - 0,#17 Illinois,17 Illinois
197,#11,"Smith, Jaxon",JR |  0 - 0,#34 Maryland,34 Maryland
197,#12,"Glazier, Zach",SR |  0 - 0,#4 Iowa,4 Iowa
197,#13,"Poznanski, John",JR |  0 - 0,#14 Rutgers,14 Rutgers
197,#14,"Stout, Mac",SO |  0 - 0,#20 Pittsburgh,20 Pittsburgh
197,#15,"Voelker, Wyatt",SO |  0 - 0,#7 Northern Iowa,7 Northern Iowa
197,#16,"Novak, Joey",SO |  0 - 0,#25 Wyoming,25 Wyoming
197,#17,"Stout, Luke",SR |  0 - 0,#46 Princeton,46 Princeton
197,#18,"Smith, Andy",SR |  0 - 0,#12 Virginia Tech,12 Virginia Tech
197,#19,"Amos, Braxton",JR |  0 - 0,#51 Wisconsin,51 Wisconsin
197,#20,"Hopkins, Levi",SR |  0 - 0,#24 Campbell,24 Campbell
197,#21,"Stemmet, Nick",SR |  0 - 0,#16 Stanford,16 Stanford
197,#22,"Bockman, Evan",SR |  0 - 0,#15 Iowa State,15 Iowa State
197,#23,"Surber, Luke",SR |  0 - 0,#2 Oklahoma State,2 Oklahoma State
197,#24,"Geog, Luke",SO |  0 - 0,#3 Ohio State,3 Ohio State
197,#25,"Shaw, Max",SR |  0 - 0,#19 North Carolina,19 North Carolina
197,#26,"Rademacher, Justin",SO |  0 - 0,#31 Oregon State,31 Oregon State
197,#27,"Deacetis, Logan",SR |  0 - 0,#41 Bucknell,41 Bucknell
197,#28,"Cosgrove, Martin",SO |  0 - 0,#28 Pennsylvania,28 Pennsylvania
197,#29,"Mooberry, Spencer",JR |  0 - 0,#44 Northern Illinois,44 Northern Illinois
197,#30,"Wehmeyer, Jack",JR |  0 - 0,#50 Columbia,50 Columbia
197,#31,"Bates, Evan",JR |  0 - 0,#37 Northwestern,37 Northwestern
197,#32,"Floyd, Carson",JR |  0 - 0,#36 Appalachian State,36 Appalachian State
197,#33,"Brophy, Patrick",SO |  0 - 0,#52 The Citadel,52 The Citadel
285,#1,"Kerkvliet, Greg",SR |  0 - 0,#1 Penn State,1 Penn State
285,#2,"Bastida, Yonger",SR |  0 - 0,#15 Iowa State,15 Iowa State
285,#3,"Feldman, Nick",SO |  0 - 0,#3 Ohio State,3 Ohio State
285,#4,"Schultz, Cohlton",SR |  0 - 0,#23 Arizona State,23 Arizona State
285,#5,"Taylor, Nathan",JR |  0 - 0,#9 Lehigh,9 Lehigh
285,#6,"Slavikouski, Yaraslau",SR |  0 - 0,#14 Rutgers,14 Rutgers
285,#7,"Ghadiali, Taye",SR |  0 - 0,#24 Campbell,24 Campbell
285,#8,"Day, Cory",SR |  0 - 0,#55 Binghamton,55 Binghamton
285,#9,"Trephan, Owen",SR |  0 - 0,#5 NC State,5 NC State
285,#10,"Heindselman, Josh",SR |  0 - 0,#21 Oklahoma,21 Oklahoma
285,#11,"Catka, Hunter",JR |  0 - 0,#12 Virginia Tech,12 Virginia Tech
285,#12,"Pitzer, Dayton",SO |  0 - 0,#20 Pittsburgh,20 Pittsburgh
285,#13,"Luffman, Luke",SR |  0 - 0,#17 Illinois,17 Illinois
285,#14,"Kueter, Ben",FR |  0 - 0,#4 Iowa,4 Iowa
285,#15,"Doucet, Konner",SR |  0 - 0,#2 Oklahoma State,2 Oklahoma State
285,#16,"Nevills, Seth",SR |  0 - 0,#34 Maryland,34 Maryland
285,#17,"Ferere, Jamier",JR |  0 - 0,#33 Navy,33 Navy
285,#18,"Szuba, David",SR |  0 - 0,#39 Rider,39 Rider
285,#19,"Hill, Josiah",SR |  0 - 0,#26 Little Rock,26 Little Rock
285,#20,"Nitzel, Seth",SR |  0 - 0,#8 Missouri,8 Missouri
285,#21,"Bullock, Jacob",SR |  0 - 0,#29 Indiana,29 Indiana
285,#22,"Bucknavich, Daniel",SR |  0 - 0,#58 Cleveland State,58 Cleveland State
285,#23,"Catka, Ryan",SR |  0 - 0,#35 Virginia,35 Virginia
285,#24,"Tinker, Trevor",JR |  0 - 0,#32 Cal Poly,32 Cal Poly
285,#25,"Andrews, Harley",SO |  0 - 0,#6 Nebraska,6 Nebraska
285,#26,"Valdez, Jose",SR |  0 - 0,#7 Northern Iowa,7 Northern Iowa
285,#27,"Mitchell, Sam",SR |  0 - 0,#25 Wyoming,25 Wyoming
285,#28,"Jenkins, Ira",SO |  0 - 0,#11 Michigan,11 Michigan
285,#29,"Tabor, Bennett",JR |  0 - 0,#13 Minnesota,13 Minnesota
285,#30,"Davis, Ashton",SO |  0 - 0,#10 Cornell,10 Cornell
285,#31,"Stoddard, Lucas",SO |  0 - 0,#27 Army West Point,27 Army West Point
285,#32,"Wolfgram, Michael",SR |  0 - 0,#18 West Virginia,18 West Virginia
285,#33,"Jarrell, William",SR |  0 - 0,#63 American,63 American
